swab_id,individual,InitialStage,Temperature, avg_ct_score, avg_ge_score,ZE, date_collected,day, species, lifestage, gosner_stage, weight, svl, sex, notes, frog_condition, total_wt, bag_wt, part_swabbed, source_location, live_zsp_count (zsp/ml), sample_type, zsp_count_notes, container, life_stage, 
TExpF4_1_Mar16,F4_1,adult,4,0,0,0, 03/16/2009,0, Rana sierrae, adult,46,15.3,46.1, M,, HEALTHY,18.3,3, L,,,,,,,
TExpF4_1_Mar24,F4_1,adult,4,38.7485,0.1208,9.664, 03/24/2009,8, Rana sierrae, adult,46,,, M,,,,, L,,,,,,,
TExpF4_1_Mar27,F4_1,adult,4,37.1561,0.3384,27.072, 03/27/2009,11, Rana sierrae, adult,46,,, M,,,,, L,,,,,,,
TExpF4_1_Mar30,F4_1,adult,4,37.5422,0.0372,2.976, 03/30/2009,14, Rana sierrae, adult,46,,, M,,,,, L,,,,,,,
TExpF4_1_Apr2,F4_1,adult,4,0,0,0, 04/02/2009,17, Rana sierrae, adult,46,15.7,51, M,, HEALTHY,18.6,2.9, L,,,,,,,
TExpF4_1_Apr5,F4_1,adult,4,0,0,0, 04/05/2009,20, Rana sierrae, adult,46,,, M,,,,, L,,,,,,,
TExpF4_1_Apr8,F4_1,adult,4,0,0,0, 04/08/2009,23, Rana sierrae, adult,46,,, M,,,,, L,,,,,,,
TExpF4_1_Apr11,F4_1,adult,4,39.7234,0.0304,2.432, 04/11/2009,26, Rana sierrae, adult,46,,, M,,,,, L,,,,,,,
TExpF4_1_Apr14,F4_1,adult,4,0,0,0, 04/14/2009,29, Rana sierrae, adult,46,14.4,46.7, M,, HEALTHY,16.5,2.1, L,,,,,,,
TExpF4_1_Apr17,F4_1,adult,4,0,0,0, 04/17/2009,32, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Apr20,F4_1,adult,4,41.9884,0.0144,1.152, 04/20/2009,35, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Apr23,F4_1,adult,4,0,0,0, 04/23/2009,38, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Apr26,F4_1,adult,4,0,0,0, 04/26/2009,41, Rana sierrae, adult,46,15.3,47, M,, HEALTHY,18.2,2.9, L,,,,,,,
TExpF4_1_Apr29,F4_1,adult,4,38.2059,0.0846,6.768, 04/29/2009,44, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_May2,F4_1,adult,4,0,0,0, 05/02/2009,47, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_May5,F4_1,adult,4,39.6018,0.0354,2.832, 05/05/2009,50, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_May8,F4_1,adult,4,0,0,0, 05/08/2009,53, Rana sierrae, adult,46,15.4,, M,, HEALTHY,17.2,1.8, L,,,,,,,
TExpF4_1_May11,F4_1,adult,4,0,0,0, 05/11/2009,56, Rana sierrae, adult,46,,46.5, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_May14,F4_1,adult,4,0,0,0, 05/14/2009,59, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_May17,F4_1,adult,4,38.3129,0.0727,5.816, 05/17/2009,62, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_May20,F4_1,adult,4,39.1309,0.0414,3.312, 05/20/2009,65, Rana sierrae, adult,46,15.5,47.9, M,, HEALTHY,21,5.5, L,,,,,,,
TExpF4_1_May23,F4_1,adult,4,42.3675,0.0081,0.648, 05/23/2009,68, Rana sierrae, adult,46,,, M, SKIN SLOUGHING OTW HEALTHY, HEALTHY,,, L,,,,,,,
TExpF4_1_May26,F4_1,adult,4,37.7129,0.0762,6.096, 05/26/2009,71, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_May29,F4_1,adult,4,0,0,0, 05/29/2009,74, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jun1,F4_1,adult,4,38.3859,0.0618,4.944, 06/01/2009,77, Rana sierrae, adult,46,15.2,47, M,, HEALTHY,20.4,5.2, L,,,,,,,
TExpF4_1_Jun4,F4_1,adult,4,38.3852,0.0619,4.952, 06/04/2009,80, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jun7,F4_1,adult,4,38.7709,0.0879,7.032, 06/07/2009,83, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jun10,F4_1,adult,4,34.6031,0.1618,12.944, 06/10/2009,86, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jun13,F4_1,adult,4,37.5403,0.0237,1.896, 06/13/2009,89, Rana sierrae, adult,46,14.5,50, M,, HEALTHY,19.8,5.3, L,,,,,,,
TExpF4_1_Jun16,F4_1,adult,4,35.9686,0.6931,55.448, 06/16/2009,92, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jun19,F4_1,adult,4,39.5242,0.0432,3.456, 06/19/2009,95, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jun22,F4_1,adult,4,35.1885,0.8053,64.424, 06/22/2009,98, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jun25,F4_1,adult,4,32.0069,9.3456,747.648, 06/25/2009,101, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TexpF4_1_Jun28,F4_1,adult,4,37.0841,0.8019,64.152, 06/28/2009,104, Rana sierrae, adult,46,15.1,49.9, M,, HEALTHY,20.3,5.2, L,,,,,,,
TexpF4_1_Jul1,F4_1,adult,4,38.2713,0.3691,29.528, 07/01/2009,107, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TexpF4_1_Jul4,F4_1,adult,4,41.5198,0.0442,3.536, 07/04/2009,110, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
TExpF4_1_Jul7,F4_1,adult,4,36.5243,0.1737,13.896, 07/07/2009,113, Rana sierrae, adult,46,,, M,, HEALTHY,,, L,,,,,,,
