size,sizeNext,surv,days,id
0.0,168.6,1,7,mary
168.6,396.832,1,7,mary
396.832,655.304,1,7,mary
655.304,2344.92,1,7,mary
2344.92,6655.236,1,7,mary
6655.236,26209.084,1,7,mary
26209.084,172172.15,1,7,mary
172172.15,,0,7,mary
0.0,29.432,1,7,mary
29.432,4.064,1,7,mary
4.064,6.301333333,1,7,mary
6.301333333,81.848,1,7,mary
81.848,62.336,1,7,mary
62.336,287.068,1,7,mary
287.068,3723.818,1,7,mary
3723.818,666.812,1,7,mary
666.812,,0,7,mary
0.0,37.64,1,7,mary
37.64,874.772,1,7,mary
874.772,1817.765333,1,7,mary
1817.765333,17898.604,1,7,mary
17898.604,46705.42,1,7,mary
46705.42,73749.152,1,7,mary
73749.152,79156.064,1,7,mary
79156.064,53919.576,1,7,mary
53919.576,,0,7,mary
0.0,1.428,1,7,mary
1.428,0.0,1,7,mary
0.0,0.0,1,7,mary
0.0,8.036,1,7,mary
8.036,140.38,1,7,mary
140.38,349.86,1,7,mary
349.86,1611.164,1,7,mary
1611.164,17952.672,1,7,mary
0.0,33.088,1,7,mary
33.088,616.328,1,7,mary
616.328,1262.776,1,7,mary
1262.776,113.612,1,7,mary
113.612,4121.94,1,7,mary
4121.94,12869.484,1,7,mary
12869.484,50439.134,1,7,mary
50439.134,13062.332,1,7,mary
0.0,1.12,1,7,mary
1.12,720.56,1,7,mary
720.56,7528.792,1,7,mary
7528.792,17395.348,1,7,mary
17395.348,100639.608,1,7,mary
100639.608,53339.728,1,7,mary
53339.728,82024.862,1,7,mary
82024.862,,0,7,mary
0.0,40.16,1,7,mary
40.16,210.076,1,7,mary
210.076,117.2933333,1,7,mary
117.2933333,889.552,1,7,mary
889.552,1339.388,1,7,mary
1339.388,1534.228,1,7,mary
1534.228,10385.556,1,7,mary
10385.556,26142.432,1,7,mary
26142.432,,0,7,mary
0.0,4.744,1,7,mary
4.744,182.68,1,7,mary
182.68,185.5786667,1,7,mary
185.5786667,4229.82,1,7,mary
4229.82,18969.584,1,7,mary
18969.584,42078.764,1,7,mary
42078.764,112086.248,1,7,mary
112086.248,65608.172,1,7,mary
65608.172,,0,7,mary
0.0,1.912,1,7,mary
1.912,14.34,1,7,mary
14.34,0.0,1,7,mary
0.0,148.724,1,7,mary
148.724,71.88,1,7,mary
71.88,210.796,1,7,mary
210.796,324.74,1,7,mary
324.74,942.116,1,7,mary
0.0,9.6,1,7,mary
9.6,110.172,1,7,mary
110.172,1220.805333,1,7,mary
1220.805333,5365.804,1,7,mary
