size,sizeNext,time,individual,temp,surv,stage
0.0,9.664,8,F4_1,4,1,adult
9.664,27.072,3,F4_1,4,1,adult
27.072,2.976,3,F4_1,4,1,adult
2.976,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,2.432,3,F4_1,4,1,adult
2.432,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,1.152,3,F4_1,4,1,adult
1.152,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,6.768,3,F4_1,4,1,adult
6.768,0.0,3,F4_1,4,1,adult
0.0,2.832,3,F4_1,4,1,adult
2.832,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,5.816,3,F4_1,4,1,adult
5.816,3.312,3,F4_1,4,1,adult
3.312,0.648,3,F4_1,4,1,adult
0.648,6.096,3,F4_1,4,1,adult
6.096,0.0,3,F4_1,4,1,adult
0.0,4.944,3,F4_1,4,1,adult
4.944,4.952,3,F4_1,4,1,adult
4.952,7.032,3,F4_1,4,1,adult
7.032,12.944,3,F4_1,4,1,adult
12.944,1.896,3,F4_1,4,1,adult
1.896,55.448,3,F4_1,4,1,adult
55.448,3.456,3,F4_1,4,1,adult
3.456,64.424,3,F4_1,4,1,adult
64.424,747.648,3,F4_1,4,1,adult
747.648,64.152,3,F4_1,4,1,adult
64.152,29.528,3,F4_1,4,1,adult
29.528,3.536,3,F4_1,4,1,adult
3.536,13.896,3,F4_1,4,1,adult
13.896,19.4,3,F4_1,4,1,adult
19.4,206.208,3,F4_1,4,1,adult
206.208,0.0,120,F4_1,4,1,adult
0.0,59.088,8,F4_2,4,1,adult
59.088,77.304,3,F4_2,4,1,adult
77.304,4.456,3,F4_2,4,1,adult
4.456,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,2.048,3,F4_2,4,1,adult
2.048,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
