"","beta_vals"
"1",0
"2",3e-05
"3",6e-05
"4",9e-05
"5",0.00012
"6",0.00015
"7",0.00018
"8",0.00021
"9",0.00024
"10",0.00027
"11",3e-04
"12",0.00033
"13",0.00036
"14",0.00039
"15",0.00042
"16",0.00045
"17",0.00048
"18",0.00051
"19",0.00054
"20",0.00057
"21",6e-04
"22",0.00063
"23",0.00066
"24",0.00069
"25",0.00072
"26",0.00075
"27",0.00078
"28",0.00081
"29",0.00084
"30",0.00087
"31",9e-04
"32",0.00093
"33",0.00096
"34",0.00099
"35",0.00102
"36",0.00105
"37",0.00108
"38",0.00111
"39",0.00114
"40",0.00117
